bitrix_id;company_id;omni_id
52941;75d90a1f-942b-4cad-88c9-1dae9e4ab73b;2018106
52937;d53ead69-d8af-4676-b876-ed076724babb;2017813
52929;2b3bb168-a92d-4cc6-b556-11ed97e89cb4;
52927;eb071617-1e11-4072-b53e-f96a89f16604;1750525
52871;876e70c3-4d81-4421-9cdf-a84347bda040;
52869;75d90a1f-942b-4cad-88c9-1dae9e4ab73b;2018106
52865;537fa44d-5f0f-4103-b124-5307d10ba96f;
52861;7e5bf69c-3246-4bcf-a769-d116a9243798;
52839;1f6b609f-cd1c-404c-a404-fb7c3a2de432;
52837;9cb3fb3a-77b7-4f8a-9ceb-c748a0c1c75e;
52821;9501d7d4-c2a5-45ea-8e62-fa645d73df51;2020241
52819;5145ba18-7932-4c86-84b0-07552e4482dc;1723739
52721;f1fe0efa-bcb0-4668-adf8-8697330ced18;2018726
52679;6f37fb99-0015-4d98-abbf-2bc301339439;
52675;6f37fb99-0015-4d98-abbf-2bc301339439;
52669;3d29546c-8860-4495-b0b4-a653ac70ca32;1802070
52643;0e74cea3-e0b6-4c8c-9d96-3e9c1fbed27a;
52627;985ca0bb-1289-45b7-89af-fd559efa73a2;2015627
52623;e2ff7f96-21dd-44b9-9a34-bc293a54808b;2015759
52603;1f4fedc4-f05f-436d-aeb0-00bf7f47e57b;
52575;a87131c1-b141-4122-9af8-4454b6a83cff;
52543;78fdd04c-50e2-4e47-8f71-34acddc1b76f;2015219
52537;c75f9500-4828-408f-9b4f-42c503643670;
52519;ac9a53d5-5c61-4a41-90d4-1fd40ddb76ae;2015111
52499;5c986513-8e89-4c6a-ab2a-73ffc5b11727;
52479;f331de32-2f41-42d6-9c8c-27b37ba0e74c;
52467;376970a6-eb40-4cc5-a581-a3bf20900557;
52417;305e5079-d743-4349-be92-b86d12ce17f9;
52405;35d60df8-9fa4-464f-a4e4-5a35223ed61b;2015190
52401;7f372ac6-b177-42c8-94af-876601f78bfa;2014367
52367;950fb7be-a45b-48d0-9049-c566205c16ef;1999458
52357;0ec210d7-cc55-450f-9c98-12e02c58dc57;
52349;deb10fad-d1ac-48bb-ae39-24a1b29a9244;2014267
52337;82442493-de51-4623-95c2-6624aaeb179c;
52295;247a42f7-743e-464b-ae3a-7a39b514ca72;2014177
52275;60d8689e-f4ea-42c5-86a9-9a2114c8bc5e;2015253
52265;c5ef74e8-1dd4-4957-88ae-f22fd215981d;1364060
52243;0c6794e6-4407-4a33-bffe-591e8f525d32;
52237;81779c8f-52bb-4c2d-a9e0-71a105679b52;2014354
52235;88500789-f0d1-4a92-87ff-a4623c5f74e6;2013730
52211;f23cc316-6322-44ff-8ab2-b7766d32feab;
52202;4fe47d65-71de-43eb-a047-068517ab2c25;
52159;0bc9c387-c464-4ad5-be9f-6933a1362c17;2015761
52141;2e138352-962e-4cbd-87dd-73fddc12e68c;
52137;c52275bb-20ad-4fbf-bc08-1405df34514c;
52123;ab78a312-dbdf-48e8-92b8-0dc9f1800e25;
52075;5e81c1ae-96fb-4fe9-8884-276dc1f226a2;
52027;f04398b4-81db-41ab-97aa-a6d0835f9c7e;
52023;7a270a8f-5b37-4a28-8208-e1b5fe44d0c9;2012196
52013;1bbf22d7-2dad-4ff6-88e5-0cfcdb5bb342;2012202
52003;87c19e10-4e7e-4669-b3c4-dd0b5e02c0a7;
51941;866b3db5-146e-4c71-a77d-dc5dedcf4e82;
51919;a38eacdb-dbd9-4867-879b-2b09260d45ee;
51913;33b738bd-392d-4ee8-8c7f-f3f71cb154b3;2010368
51865;ce505d19-4a05-4d05-bb54-7a088add6c5d;
51853;681a140e-4ca6-47ec-8b3f-522c773e93c1;2012144
51825;3e98a729-5a3d-4ecf-9722-00dafe517240;
51773;acd79f40-f63e-4a75-9648-6f2e9eca93c5;1977561
51767;48edb346-c2c3-4d5f-8e12-2ec3827fd529;2010990
51761;7c80b9d3-5891-4dd5-ba9a-65bc89af26c4;2010754
51757;8b7be3da-b9b8-494a-a2ce-999fcfc52cd2;
51751;dd1a159b-2d17-413f-8953-f4b24dbabfcf;2011259
51709;ca80323e-2c70-4369-94eb-3c9b71e35cc3;
51699;07c46e86-0560-405d-a66a-741335b4217a;2015282
51695;622497a5-2187-4772-9ba8-0a3f33199b27;
51687;9197b884-4697-40fc-a885-f169b4702253;1220829
51685;93e69e33-8e39-48b6-a932-735d21840ebd;1881640
51667;41f37170-207a-4986-80b7-ab3ad2572cb8;2011336
51659;95af8af5-cc8c-44b7-b7e2-4c0432177560;2010334
51657;86c8fbf6-7850-42bb-8adf-67b5dfd238ba;
51653;f71d286f-5ae8-4f7c-aee2-130a10124903;
51633;88500789-f0d1-4a92-87ff-a4623c5f74e6;2013730
51613;bd894fc3-2d52-4082-9e91-ff4cbe0fae3a;1906397
51605;4cbfc397-f287-4286-abb9-5407c83c5e04;2012068
51525;fb7b02b3-743a-40b5-9115-4649c07cadb9;2010255
51519;9b210b3b-ee67-44c0-9bd9-d84dcf3a2579;
51493;46c82d3b-a817-4332-a95c-c28a4b831974;1844376
51487;197fd543-df2d-4e27-b25b-7be566e3fef1;2010755
51483;6c8ccb4d-d95c-4048-8f28-105451cd9a75;2017174
51477;902cf29c-5be6-41ad-8164-e50bb42a08b6;1528102
51469;152650cd-f4a4-4f8b-ae53-4d8ddad28777;2010831
51441;d00c541f-6464-42d5-9d9c-84fee6a8b869;
51439;d00c541f-6464-42d5-9d9c-84fee6a8b869;
51435;4f47b501-1799-4a7b-90e9-ce04c7b5a918;
51431;e91394d4-7965-4a1e-ab2f-e472c5bb56d8;2009097
51429;2cc587ee-83a1-45c5-a487-787ae9b625aa;2009066
